Path Row ID Date
147 046 LE71470462000289SGS01 2000-10-15
147 047 LE71470472000289SGS00 2000-10-15
147 049 LE71470492000289SGS00 2000-10-15
143 053 LE71430532000293SGS00 2000-10-19
146 047 LE71460472000298SGS00 2000-10-24
144 052 LE71440522000300SGS00 2000-10-26
144 054 LE71440542000300SGS00 2000-10-26
147 049 LE71470492000321EDC00 2000-11-16
148 046 LE71480462000328EDC01 2000-11-23
146 047 LE71460472000330SGS00 2000-11-25
146 049 LE71460492000330SGS00 2000-11-25
144 052 LE71440522000332SGS00 2000-11-27
147 046 LE71470462000337SGS00 2000-12-02
147 047 LE71470472000337SGS00 2000-12-02
145 051 LE71450512000355SGS00 2000-12-20
145 052 LE71450522000355SGS00 2000-12-20
