Path Row ID Date
148 046 LE71480461999293SGS00 1999-10-20
147 046 LE71470461999302EDC00 1999-10-29
147 047 LE71470471999302EDC00 1999-10-29
147 048 LE71470481999302EDC00 1999-10-29
145 050 LE71450501999304SGS00 1999-10-31
145 052 LE71450521999304SGS00 1999-10-31
143 053 LE71430531999306EDC01 1999-11-02
146 050 LE71460501999311SGS00 1999-11-07
144 052 LE71440521999313SGS00 1999-11-09
144 053 LE71440531999313SGS00 1999-11-09
144 054 LE71440541999313SGS00 1999-11-09
147 047 LE71470471999318SGS00 1999-11-14
147 048 LE71470481999318SGS00 1999-11-14
147 049 LE71470491999318SGS00 1999-11-14
145 050 LE71450501999336SGS00 1999-12-02
143 053 LE71430531999338SGS00 1999-12-04
148 046 LE71480461999341SGS00 1999-12-07
146 047 LE71460471999343SGS00 1999-12-09
147 046 LE71470461999350EDC00 1999-12-16
