Path Row ID Date
146 047 LE71460472005279PFS00 2005-10-06
146 049 LE71460492005279PFS00 2005-10-06
147 046 LE71470462005286PFS00 2005-10-13
148 046 LE71480462005293PFS00 2005-10-20
148 046 LE71480462005309EDC00 2005-11-05
146 047 LE71460472005311PFS01 2005-11-07
147 046 LE71470462005318ASN00 2005-11-14
147 047 LE71470472005318ASN00 2005-11-14
147 048 LE71470482005318ASN00 2005-11-14
147 049 LE71470492005318ASN00 2005-11-14
145 050 LE71450502005320SGS00 2005-11-16
145 051 LE71450512005320SGS00 2005-11-16
145 052 LE71450522005320SGS00 2005-11-16
148 046 LE71480462005325SGS00 2005-11-21
148 046 LE71480462005341PFS00 2005-12-07
146 047 LE71460472005343PFS00 2005-12-09
146 049 LE71460492005343PFS00 2005-12-09
143 053 LE71430532005354PFS00 2005-12-20
148 046 LE71480462005357PFS00 2005-12-23
144 054 LE71440542005361ASN00 2005-12-27
