Path Row ID Date
144 054 LE71440542000028EDC00 2000-01-28
147 046 LE71470462000033SGS00 2000-02-02
147 047 LE71470472000033SGS00 2000-02-02
147 049 LE71470492000049SGS00 2000-02-18
145 050 LE71450502000051EDC00 2000-02-20
148 046 LE71480462000056SGS01 2000-02-25
147 046 LE71470462000065SGS00 2000-03-05
146 047 LE71460472000074SGS00 2000-03-14
146 049 LE71460492000074SGS00 2000-03-14
146 050 LE71460502000074SGS00 2000-03-14
145 050 LE71450502000083SGS00 2000-03-23
145 051 LE71450512000083SGS01 2000-03-23
143 053 LE71430532000101SGS00 2000-04-10
148 046 LE71480462000104SGS00 2000-04-13
147 049 LE71470492000129SGS00 2000-05-08
147 046 LE71470462000145SGS00 2000-05-24
143 053 LE71430532000197EDC00 2000-07-15
148 046 LE71480462000264SGS00 2000-09-20
147 046 LE71470462000289SGS01 2000-10-15
147 047 LE71470472000289SGS00 2000-10-15
147 049 LE71470492000289SGS00 2000-10-15
143 053 LE71430532000293SGS00 2000-10-19
146 047 LE71460472000298SGS00 2000-10-24
144 052 LE71440522000300SGS00 2000-10-26
144 054 LE71440542000300SGS00 2000-10-26
147 049 LE71470492000321EDC00 2000-11-16
148 046 LE71480462000328EDC01 2000-11-23
146 047 LE71460472000330SGS00 2000-11-25
146 049 LE71460492000330SGS00 2000-11-25
144 052 LE71440522000332SGS00 2000-11-27
147 046 LE71470462000337SGS00 2000-12-02
147 047 LE71470472000337SGS00 2000-12-02
145 051 LE71450512000355SGS00 2000-12-20
145 052 LE71450522000355SGS00 2000-12-20
