Path Row ID Date
148 046 LE71480462005005PFS00 2005-01-05
146 047 LE71460472005007ASN00 2005-01-07
146 049 LE71460492005007ASN00 2005-01-07
147 047 LE71470472005014ASN00 2005-01-14
147 048 LE71470482005014ASN00 2005-01-14
147 049 LE71470492005014ASN00 2005-01-14
145 050 LE71450502005016ASN00 2005-01-16
145 051 LE71450512005016ASN00 2005-01-16
148 046 LE71480462005021PFS00 2005-01-21
144 052 LE71440522005025ASN00 2005-01-25
144 053 LE71440532005025ASN00 2005-01-25
148 046 LE71480462005037PFS00 2005-02-06
146 047 LE71460472005039ASN00 2005-02-08
146 049 LE71460492005039ASN00 2005-02-08
144 052 LE71440522005041ASN00 2005-02-10
144 053 LE71440532005041ASN00 2005-02-10
147 046 LE71470462005046ASN00 2005-02-15
148 046 LE71480462005053PFS00 2005-02-22
147 047 LE71470472005062PFS00 2005-03-03
147 048 LE71470482005062PFS00 2005-03-03
145 050 LE71450502005064ASN00 2005-03-05
145 051 LE71450512005064ASN00 2005-03-05
145 052 LE71450522005064ASN00 2005-03-05
148 046 LE71480462005069PFS01 2005-03-10
146 047 LE71460472005071ASN01 2005-03-12
146 049 LE71460492005071ASN01 2005-03-12
144 052 LE71440522005073PFS02 2005-03-14
144 053 LE71440532005073PFS02 2005-03-14
144 054 LE71440542005073PFS02 2005-03-14
147 046 LE71470462005078ASN00 2005-03-19
143 053 LE71430532005082PFS00 2005-03-23
148 046 LE71480462005085PFS00 2005-03-26
147 046 LE71470462005094PFS00 2005-04-04
147 047 LE71470472005094PFS00 2005-04-04
147 048 LE71470482005094PFS00 2005-04-04
147 049 LE71470492005094PFS00 2005-04-04
148 046 LE71480462005101PFS00 2005-04-11
145 052 LE71450522005112ASN00 2005-04-22
148 046 LE71480462005117ASN00 2005-04-27
146 047 LE71460472005119ASN00 2005-04-29
146 049 LE71460492005119ASN00 2005-04-29
147 046 LE71470462005126ASN00 2005-05-06
148 046 LE71480462005133ASN00 2005-05-13
146 049 LE71460492005135ASN00 2005-05-15
147 046 LE71470462005142ASN00 2005-05-22
147 046 LE71470462005158ASN00 2005-06-07
143 053 LE71430532005242ASN00 2005-08-30
146 047 LE71460472005279PFS00 2005-10-06
146 049 LE71460492005279PFS00 2005-10-06
147 046 LE71470462005286PFS00 2005-10-13
148 046 LE71480462005293PFS00 2005-10-20
148 046 LE71480462005309EDC00 2005-11-05
146 047 LE71460472005311PFS01 2005-11-07
147 046 LE71470462005318ASN00 2005-11-14
147 047 LE71470472005318ASN00 2005-11-14
147 048 LE71470482005318ASN00 2005-11-14
147 049 LE71470492005318ASN00 2005-11-14
145 050 LE71450502005320SGS00 2005-11-16
145 051 LE71450512005320SGS00 2005-11-16
145 052 LE71450522005320SGS00 2005-11-16
148 046 LE71480462005325SGS00 2005-11-21
148 046 LE71480462005341PFS00 2005-12-07
146 047 LE71460472005343PFS00 2005-12-09
146 049 LE71460492005343PFS00 2005-12-09
143 053 LE71430532005354PFS00 2005-12-20
148 046 LE71480462005357PFS00 2005-12-23
144 054 LE71440542005361ASN00 2005-12-27
