Path Row ID Date
145 050 LE71450502004062ASN01 2004-03-02
143 053 LE71430532004064ASN01 2004-03-04
144 052 LE71440522004071ASN01 2004-03-11
144 053 LE71440532004071ASN01 2004-03-11
147 046 LE71470462004076ASN02 2004-03-16
147 047 LE71470472004076ASN02 2004-03-16
147 048 LE71470482004076ASN02 2004-03-16
147 049 LE71470492004076ASN02 2004-03-16
145 051 LE71450512004078ASN01 2004-03-18
145 052 LE71450522004078ASN01 2004-03-18
148 046 LE71480462004083ASN01 2004-03-23
146 047 LE71460472004085ASN01 2004-03-25
146 049 LE71460492004085ASN02 2004-03-25
145 050 LE71450502004094ASN01 2004-04-03
145 051 LE71450512004094ASN01 2004-04-03
146 047 LE71460472004101ASN01 2004-04-10
146 049 LE71460492004101ASN01 2004-04-10
144 052 LE71440522004103ASN01 2004-04-12
147 046 LE71470462004108ASN01 2004-04-17
147 047 LE71470472004108ASN01 2004-04-17
147 048 LE71470482004108ASN01 2004-04-17
147 049 LE71470492004108ASN01 2004-04-17
146 047 LE71460472004133PFS01 2004-05-12
